N,p(n_i.n_j.n_t.n_k.n_ell.n_p.n_q),d,u_i,e_ijt,c_i,lik,mkp,v_i,h_i,r_iq,t_iq,|N|,|I|,skip^N,skip^I,time^N,time^I,g,CPU(seconds)
77,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",2,25,"[0.78, 0.11, 0.11]","[0.80, 0.20]","[0.8, 0.2]","[0.8, 0.2]",3,3,2,1,5,2,97,68,39,3000
78,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",2,25,"[0.78, 0.11, 0.11]","[0.80, 0.20]","[0.8, 0.2]","[0.8, 0.2]",3,3,2,1,1,2,105,59,40,3100
79,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",2,25,"[0.78, 0.11, 0.11]","[0.80, 0.20]","[0.7, 0.3]","[0.7, 0.3]",3,3,2,1,7,1,186,40,30,3168
80,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",2,25,"[0.78, 0.11, 0.11]","[0.80, 0.20]","[0.7, 0.3]","[0.7, 0.3]",3,3,2,1,4,1,108,36,38,3463
81,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",1,25,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,0,0,0,0,0,0,40,3575
82,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",1,25,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,3,1,6,1,190,43,36,2947
83,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",1,25,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.7, 0.3]","[0.7, 0.3]",3,3,0,0,0,0,0,0,-1,1262
84,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",1,25,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.7, 0.3]","[0.7, 0.3]",3,3,0,1,0,0,0,63,40,3664
85,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",1,25,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.8, 0.2]","[0.8, 0.2]",3,3,2,1,4,1,131,47,40,3490
86,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",1,25,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.8, 0.2]","[0.8, 0.2]",3,3,1,1,0,1,45,44,34,3286
87,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",1,25,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.7, 0.3]","[0.7, 0.3]",3,3,0,1,0,1,0,48,40,3286
88,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",1,25,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.7, 0.3]","[0.7, 0.3]",3,3,2,1,5,2,72,40,39,2944
89,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",1,25,"[0.86, 0.07, 0.07]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,0,1,0,1,0,52,40,3633
90,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",1,25,"[0.86, 0.07, 0.07]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,1,1,0,1,98,44,40,3036
91,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",1,25,"[0.86, 0.07, 0.07]","[0.86, 0.14]","[0.7, 0.3]","[0.7, 0.3]",3,3,0,0,0,0,0,0,-1,2244
92,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",1,25,"[0.86, 0.07, 0.07]","[0.86, 0.14]","[0.7, 0.3]","[0.7, 0.3]",3,3,1,1,0,2,51,53,40,3324
93,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",1,25,"[0.86, 0.07, 0.07]","[0.80, 0.20]","[0.8, 0.2]","[0.8, 0.2]",3,3,3,1,10,2,125,33,30,2133
94,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",1,25,"[0.86, 0.07, 0.07]","[0.80, 0.20]","[0.8, 0.2]","[0.8, 0.2]",3,3,1,1,0,1,52,45,32,3654
95,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",1,25,"[0.86, 0.07, 0.07]","[0.80, 0.20]","[0.7, 0.3]","[0.7, 0.3]",3,3,1,1,4,1,48,51,40,3000
96,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",1,25,"[0.86, 0.07, 0.07]","[0.80, 0.20]","[0.7, 0.3]","[0.7, 0.3]",3,3,2,1,1,1,114,38,40,2959
