N,p(n_i.n_j.n_t.n_k.n_ell.n_p.n_q),d,u_i,e_ijt,c_i,lik,mkp,v_i,h_i,r_iq,t_iq,|N|,|I|,skip^N,skip^I,time^N,time^I,g,CPU(seconds)
65,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",2,25,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,2,1,5,1,156,47,40,3536
66,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",2,25,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,1,1,0,2,46,49,40,3312
67,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",2,25,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.7, 0.3]","[0.7, 0.3]",3,3,0,0,0,0,0,0,-1,1973
68,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",2,25,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.7, 0.3]","[0.7, 0.3]",3,3,0,0,0,0,0,0,-1,698
69,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",2,25,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.8, 0.2]","[0.8, 0.2]",3,3,4,2,8,1,187,250,27,2475
70,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",2,25,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.8, 0.2]","[0.8, 0.2]",3,3,4,1,7,2,290,31,38,2424
71,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",2,25,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.7, 0.3]","[0.7, 0.3]",3,3,2,1,5,2,82,42,39,2882
72,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",2,25,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.7, 0.3]","[0.7, 0.3]",3,3,1,1,0,2,32,33,31,3200
73,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",2,25,"[0.78, 0.11, 0.11]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,0,0,0,0,0,0,40,3701
74,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",2,25,"[0.78, 0.11, 0.11]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,0,0,0,0,0,0,-1,2002
75,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",2,25,"[0.78, 0.11, 0.11]","[0.86, 0.14]","[0.7, 0.3]","[0.7, 0.3]",3,3,0,1,0,0,0,43,40,3556
76,p(50.40.3.15.16.3.15),2,"[0.7, 0.3]",2,25,"[0.78, 0.11, 0.11]","[0.86, 0.14]","[0.7, 0.3]","[0.7, 0.3]",3,3,0,0,0,0,0,0,-1,1458
