N,p(n_i.n_j.n_t.n_k.n_ell.n_p.n_q),d,u_i,e_ijt,c_i,lik,mkp,v_i,h_i,r_iq,t_iq,|N|,|I|,skip^N,skip^I,time^N,time^I,g,CPU(seconds)
1,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",2,13,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,2,1,6,1,86,10,20,1390
2,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",2,13,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,4,2,6,1,361,18,20,844
3,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",2,13,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.7, 0.3]","[0.7, 0.3]",3,3,3,2,4,2,358,75,20,868
4,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",2,13,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.7, 0.3]","[0.7, 0.3]",3,3,4,2,5,1,210,14,20,717
5,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",2,13,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.8, 0.2]","[0.8, 0.2]",3,3,2,1,11,1,11,4,14,366
6,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",2,13,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.8, 0.2]","[0.8, 0.2]",3,3,3,1,11,1,14,6,16,375
7,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",2,13,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.7, 0.3]","[0.7, 0.3]",3,3,4,2,7,1,27,8,20,416
8,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",2,13,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.7, 0.3]","[0.7, 0.3]",3,3,3,1,10,2,14,4,17,382
9,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",2,13,"[0.78, 0.11, 0.11]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,3,1,6,1,231,133,20,1517
10,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",2,13,"[0.78, 0.11, 0.11]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,4,2,6,1,210,152,20,1009
