N,p(n_i.n_j.n_t.n_k.n_ell.n_p.n_q),d,u_i,e_ijt,c_i,lik,mkp,v_i,h_i,r_iq,t_iq,|N|,|I|,skip^N,skip^I,time^N,time^I,g,CPU(seconds)
11,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",2,13,"[0.78, 0.11, 0.11]","[0.86, 0.14]","[0.7, 0.3]","[0.7, 0.3]",3,3,6,2,5,2,110,36,20,650
12,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",2,13,"[0.78, 0.11, 0.11]","[0.86, 0.14]","[0.7, 0.3]","[0.7, 0.3]",3,3,4,1,6,1,197,9,20,1401
13,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",2,13,"[0.78, 0.11, 0.11]","[0.80, 0.20]","[0.8, 0.2]","[0.8, 0.2]",3,3,2,1,9,0,24,4,16,406
14,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",2,13,"[0.78, 0.11, 0.11]","[0.80, 0.20]","[0.8, 0.2]","[0.8, 0.2]",3,3,3,1,5,1,125,5,20,825
15,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",2,13,"[0.78, 0.11, 0.11]","[0.80, 0.20]","[0.7, 0.3]","[0.7, 0.3]",3,3,4,2,6,2,67,13,20,478
16,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",2,13,"[0.78, 0.11, 0.11]","[0.80, 0.20]","[0.7, 0.3]","[0.7, 0.3]",3,3,3,1,8,1,63,5,20,484
17,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",1,13,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,2,1,7,0,90,15,20,1532
18,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",1,13,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,4,1,8,1,42,8,18,499
19,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",1,13,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.7, 0.3]","[0.7, 0.3]",3,3,4,1,7,1,183,31,20,975
20,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",1,13,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.7, 0.3]","[0.7, 0.3]",3,3,3,2,7,1,87,73,20,650
21,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",1,13,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.8, 0.2]","[0.8, 0.2]",3,3,4,1,8,1,71,7,20,533
22,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",1,13,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.8, 0.2]","[0.8, 0.2]",3,3,3,1,9,1,89,6,14,546
23,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",1,13,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.7, 0.3]","[0.7, 0.3]",3,3,3,1,6,2,31,4,20,421
24,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",1,13,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.7, 0.3]","[0.7, 0.3]",3,3,3,1,11,1,31,8,20,411
25,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",1,13,"[0.86, 0.07, 0.07]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,3,1,7,0,50,4,20,461
26,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",1,13,"[0.86, 0.07, 0.07]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,3,1,7,2,238,9,20,964
27,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",1,13,"[0.86, 0.07, 0.07]","[0.86, 0.14]","[0.7, 0.3]","[0.7, 0.3]",3,3,4,2,6,1,82,12,20,508
28,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",1,13,"[0.86, 0.07, 0.07]","[0.86, 0.14]","[0.7, 0.3]","[0.7, 0.3]",3,3,3,2,8,2,51,17,20,463
29,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",1,13,"[0.86, 0.07, 0.07]","[0.80, 0.20]","[0.8, 0.2]","[0.8, 0.2]",3,3,3,1,9,2,15,4,20,390
30,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",1,13,"[0.86, 0.07, 0.07]","[0.80, 0.20]","[0.8, 0.2]","[0.8, 0.2]",3,3,3,1,9,2,14,4,19,383
31,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",1,13,"[0.86, 0.07, 0.07]","[0.80, 0.20]","[0.7, 0.3]","[0.7, 0.3]",3,3,2,1,8,1,23,4,10,406
32,p(25.20.3.15.16.3.15),2,"[0.7, 0.3]",1,13,"[0.86, 0.07, 0.07]","[0.80, 0.20]","[0.7, 0.3]","[0.7, 0.3]",3,3,2,1,9,1,23,4,15,407
